Rank,Full Journal Title,ISSN
9382,MICROBIOLOGY,0026-2617
9382,Research in Gerontological Nursing,1940-4921
9382,Research in Gerontological Nursing,1940-4921
9382,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,1081-1826
9382,Set-Valued and Variational Analysis,1877-0533
9388,Bulletin of Latin American Research,0261-3050
9388,GEOGRAPHY,0016-7487
9388,International Journal of Micro Air Vehicles,1756-8293
9388,JOURNAL OF MEDICINE AND PHILOSOPHY,0360-5310
9388,Journal of Clinical Pediatric Dentistry,1053-4628
9388,MATERIALS SCIENCE-POLAND,2083-134X
9388,OIL SHALE,0208-189X
9388,RADICAL PHILOSOPHY,0300-211X
9388,SOUTHERN MEDICAL JOURNAL,0038-4348
9397,Journal of Oral Science,1343-4934
9397,QUARTERLY OF APPLIED MATHEMATICS,0033-569X
9399,Denver Law Review,2469-6463
9399,Irish Political Studies,0790-7184
9399,Journal of Eye Movement Research,1995-8692
9399,POTENTIAL ANALYSIS,0926-2601
9399,SYSTEM DYNAMICS REVIEW,0883-7066
9399,Videosurgery and Other Miniinvasive Techniques,1895-4588
9405,European Journal of Special Needs Education,0885-6257
9405,JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,1533-2640
9405,JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,1533-2640
9405,Journal of Policy and Practice in Intellectual Disabilities,1741-1122
9405,THEORETICAL AND MATHEMATICAL PHYSICS,0040-5779
9410,Clothing and Textiles Research Journal,0887-302X
9410,Health Care for Women International,0739-9332
9410,JOURNAL OF ENVIRONMENTAL HEALTH,0022-0892
9410,JOURNAL OF VETERINARY MEDICAL EDUCATION,0748-321X
9410,Revista Brasileira de Anestesiologia,0034-7094
9415,Ethnography,1466-1381
9415,JOURNAL OF ASTROPHYSICS AND ASTRONOMY,0250-6335
9415,Journal of Mathematical Inequalities,1846-579X
9418,AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1533-7731
9418,Advances in Mechanical Engineering,1687-8140
9418,Child Language Teaching & Therapy,0265-6590
9418,Clinical Laboratory,1433-6510
9418,European Journal of Finance,1351-847X
9418,JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,1151-0285
9418,PLASTICS RUBBER AND COMPOSITES,1465-8011
9418,UNIVERSITY OF TORONTO LAW JOURNAL,0042-0220
9426,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978
9426,CHINESE PHYSICS LETTERS,0256-307X
9426,Earthquake Engineering and Engineering Vibration,1671-3664
9429,ACTA PHYSICO-CHIMICA SINICA,1000-6818
9429,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837
9429,British Politics,1746-918X
9429,International Journal of Biomathematics,1793-5245
9429,NORDIC JOURNAL OF BOTANY,0107-055X
9434,Asian Journal of Technology Innovation,1976-1597
9434,FORMAL ASPECTS OF COMPUTING,0934-5043
9434,Nutricion Hospitalaria,0212-1611
9437,Journal of Spectral Theory,1664-039X
9437,SOCIAL COMPASS,0037-7686
9439,Arab Journal of Gastroenterology,1687-1979
9439,INTERNATIONAL INTERACTIONS,0305-0629
9439,MATHEMATICAL METHODS OF OPERATIONS RESEARCH,1432-2994
9439,MATHEMATISCHE NACHRICHTEN,0025-584X
9439,Proceedings of the Estonian Academy of Sciences,1736-6046
9444,African Health Sciences,1680-6905
9444,BIOTA NEOTROPICA,1676-0603
9444,EUROPE-ASIA STUDIES,0966-8136
9444,Journal of Cancer Research and Therapeutics,0973-1482
9444,MINDS AND MACHINES,0924-6495
9444,Natural Language Semantics,0925-854X
9444,OPHTHALMOLOGE,0941-293X
9451,CIRUGIA ESPANOLA,0009-739X
9451,International Journal of Surface Science and Engineering,1749-785X
9451,JOURNAL OF FOOD QUALITY,0146-9428
9451,Micro & Nano Letters,1750-0443
9455,BULLETIN DU CANCER,0007-4551
9455,Bulletin of the Malaysian Mathematical Sciences Society,0126-6705
9455,DISTRIBUTED COMPUTING,0178-2770
9455,Hong Kong Journal of Occupational Therapy,1569-1861
9455,International Journal of Biostatistics,2194-573X
9455,Journal of Southern Hemisphere Earth Systems Science,1836-716X
9455,Serbian Astronomical Journal,1450-698X
9462,Island Studies Journal,1715-2593
9462,POLISH JOURNAL OF VETERINARY SCIENCES,1505-1773
9464,HERZOGIA,0018-0971
9464,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,1068-1620
9464,Revista de Cercetare si Interventie Sociala,1583-3410
9464,Water Policy,1366-7017
9468,ACTA AMAZONICA,0044-5967
9468,International Journal of Low-Carbon Technologies,1748-1317
9470,Human Service Organizations Management Leadership & Governance,2330-3131
9471,APPLIED MAGNETIC RESONANCE,0937-9347
9471,Herpetological Conservation and Biology,2151-0733
9471,LINEAR & MULTILINEAR ALGEBRA,0308-1087
9474,AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,0886-1099
9474,AMERICAN JOURNAL OF VETERINARY RESEARCH,0002-9645
9474,CCAMLR SCIENCE,1023-4063
9474,International Journal of Clinical and Experimental Medicine,1940-5901
9474,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488
9474,Journal of East Asian Studies,1598-2408
9474,Journal of Mental Health Research in Intellectual Disabilities,1931-5864
9474,Journal of Pacific Rim Psychology,1834-4909
9474,LAB ANIMAL,0093-7355
9474,Nebraska Symposium on Motivation,0146-7875
9474,Translational Neuroscience,2081-3856
9474,Violence and Victims,0886-6708
9486,Clinical and Investigative Medicine,0147-958X
9486,Complex Variables and Elliptic Equations,1747-6933
9486,LANGUAGE SCIENCES,0388-0001
9489,CESifo Economic Studies,1610-241X
9489,JOURNAL OF AIRCRAFT,0021-8669
9489,NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,1525-7770
9489,Open Mathematics,2391-5455
9489,Review of Symbolic Logic,1755-0203
9489,Workplace Health & Safety,2165-0799
9489,Workplace Health & Safety,2165-0799
9496,HORTSCIENCE,0018-5345
9496,JOURNAL OF APPLIED PROBABILITY,0021-9002
9496,NURSING SCIENCE QUARTERLY,0894-3184
9496,NURSING SCIENCE QUARTERLY,0894-3184
9500,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,1352-8505
9500,IETE JOURNAL OF RESEARCH,0377-2063
9500,INTERNATIONAL JOURNAL OF THERMOPHYSICS,0195-928X
9500,Mathematical Communications,1331-0623
9504,CHELONIAN CONSERVATION AND BIOLOGY,1071-8443
9504,COMPUTATIONAL STATISTICS,0943-4062
9504,EMERGING MARKETS FINANCE AND TRADE,1540-496X
9504,INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,1065-2469
9504,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-4289
9504,Music Education Research,1461-3808
9510,Advances in Civil Engineering,1687-8086
9510,CHINESE JOURNAL OF PHYSIOLOGY,0304-4920
9510,CONSTRUCTIVE APPROXIMATION,0176-4276
9510,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,1082-6076
9510,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X
9510,NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,0163-0563
9510,Revista Portuguesa de Cardiologia,0870-2551
9517,JOURNAL OF APPLIED ANIMAL RESEARCH,0971-2119
9517,JOURNAL OF TIME SERIES ANALYSIS,0143-9782
9517,Social Justice Research,0885-7466
9517,Statistics in Biopharmaceutical Research,1946-6315
9521,FORMAL METHODS IN SYSTEM DESIGN,0925-9856
9521,Issues in Mental Health Nursing,0161-2840
9521,Issues in Mental Health Nursing,0161-2840
9521,JOURNAL OF MORAL EDUCATION,0305-7240
9521,Journal of Real Estate Research,0896-5803
9521,WATER ENVIRONMENT RESEARCH,1061-4303
9527,ASTRONOMY REPORTS,1063-7729
9527,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,0253-3820
9527,Early Child Development and Care,0300-4430
9527,INTERNATIONAL JOURNAL OF AVIATION PSYCHOLOGY,1050-8414
9527,Journal of Neuroscience Psychology and Economics,1937-321X
9527,OPTICS AND SPECTROSCOPY,0030-400X
9527,PSYCHOANALYTIC PSYCHOLOGY,0736-9735
9527,STRATIGRAPHY AND GEOLOGICAL CORRELATION,0869-5938
9527,VITIS,0042-7500
9536,JOURNAL OF PHYTOPATHOLOGY,0931-1785
9537,ADVANCES IN NURSING SCIENCE,0161-9268
9537,ADVANCES IN NURSING SCIENCE,0161-9268
9537,Lex Localis-Journal of Local Self-Government,1581-5374
9537,PACIFIC SCIENCE,0030-8870
9537,RADIATION PROTECTION DOSIMETRY,0144-8420
9542,Critical Discourse Studies,1740-5904
9542,Higher Education Policy,0952-8733
9542,JOURNAL OF AFRICAN ECONOMIES,0963-8024
9545,JOURNAL OF CONTINUING EDUCATION IN NURSING,0022-0124
9545,JOURNAL OF CONTINUING EDUCATION IN NURSING,0022-0124
9545,NUCLEAR SCIENCE AND ENGINEERING,0029-5639
9545,PROGRESS IN CHEMISTRY,1005-281X
9549,ANNALS ACADEMY OF MEDICINE SINGAPORE,0304-4602
9549,Brazilian Journal of Probability and Statistics,0103-0752
9549,PEDIATRIC NEUROSURGERY,1016-2291
9549,PROGRES EN UROLOGIE,1166-7087
9549,SOUTH ATLANTIC QUARTERLY,0038-2876
9549,TENSIDE SURFACTANTS DETERGENTS,0932-3414
9555,Australian Academic & Research Libraries,0004-8623
9555,QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,1470-9236
9555,SWEDISH DENTAL JOURNAL,0347-9994
9558,Acta Botanica Brasilica,0102-3306
9558,EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254
9558,INTERNAL MEDICINE,0918-2918
9558,ISRAEL MEDICAL ASSOCIATION JOURNAL,1565-1088
9558,Neurologia i Neurochirurgia Polska,0028-3843
9558,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,0125-1562
9564,CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,0008-4506
9564,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,0894-3370
9564,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,0003-1062
9564,RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,1021-4437
9564,THEORY & PSYCHOLOGY,0959-3543
9569,Bangladesh Journal of Pharmacology,1991-007X
9569,Landscape and Ecological Engineering,1860-1871
9569,MYCOTAXON,0093-4666
9572,CARTOGRAPHIC JOURNAL,0008-7041
9572,Electronic Journal of Statistics,1935-7524
9572,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,0378-3758
9572,Journal of Higher Education Policy and Management,1360-080X
9576,FACIAL PLASTIC SURGERY,0736-6825
9577,ASTERISQUE,0303-1179
9577,CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,0008-400X
9577,FORDHAM LAW REVIEW,0015-704X
9577,JOURNAL OF PORTFOLIO MANAGEMENT,0095-4918
9577,NURSING CLINICS OF NORTH AMERICA,0029-6465
9577,NURSING CLINICS OF NORTH AMERICA,0029-6465
9577,Statistical Applications in Genetics and Molecular Biology,2194-6302
9577,Weather,0043-1656
9585,DIAGNOSTICA,0012-1924
9585,JOURNAL OF HOUSING ECONOMICS,1051-1377
9585,Journal of Veterinary Research,2450-7393
9585,SLAVIC REVIEW,0037-6779
9585,SPANISH JOURNAL OF AGRICULTURAL RESEARCH,1695-971X
9590,AJAR-African Journal of AIDS Research,1608-5906
9590,AJAR-African Journal of AIDS Research,1608-5906
9590,ANNALS OF CARNEGIE MUSEUM,0097-4463
9590,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976
9590,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976
9590,HISTORY AND THEORY,0018-2656
9590,Journal of the Indian Society of Remote Sensing,0255-660X
9597,ACTA PHYSIOLOGICA HUNGARICA,0231-424X
9597,CAHIERS AGRICULTURES,1777-5949
9597,INTERACTING WITH COMPUTERS,0953-5438
9597,INTERACTING WITH COMPUTERS,0953-5438
9597,JOURNAL OF HISTORICAL SOCIOLOGY,0952-1909
9597,Journal of Bioethical Inquiry,1176-7529
9597,Journal of Bioethical Inquiry,1176-7529
9597,Journal of Water and Climate Change,2040-2244
9597,Natural Product Communications,1934-578X
9606,TECHNICAL PHYSICS LETTERS,1063-7850
9607,BRITTONIA,0007-196X
9607,CLINICAL SOCIAL WORK JOURNAL,0091-1674
9607,Sugar Tech,0972-1525
9610,BIOCONTROL SCIENCE,1342-4815
9610,Crop Breeding and Applied Biotechnology,1984-7033
9610,EXPERIMENTAL TECHNIQUES,0732-8818
9610,European Political Science,1680-4333
9610,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,0144-8188
9610,ISJ-Invertebrate Survival Journal,1824-307X
9610,NORWEGIAN JOURNAL OF GEOLOGY,0029-196X
9610,TRANSPLANTATION PROCEEDINGS,0041-1345
9618,BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY,0102-7638
9618,EXPERIMENTAL MATHEMATICS,1058-6458
9618,International Journal of Computational Methods,0219-8762
9618,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320
9618,OPTICAL REVIEW,1340-6000
9623,INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS,1383-5416
9623,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,1076-9307
9623,JOURNAL OF COASTAL RESEARCH,0749-0208
9623,JOURNAL OF LATIN AMERICAN STUDIES,0022-216X
9623,Pakistan Journal of Pharmaceutical Sciences,1011-601X
9628,JOURNAL OF VETERINARY MEDICAL SCIENCE,0916-7250
9628,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0269-9648
9630,EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,1286-0042
9630,FOREIGN LANGUAGE ANNALS,0015-718X
9630,INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,0268-1900
9633,JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392
9633,Journal of Health Organization and Management,1477-7266
9635,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296
9635,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,0925-1030
9635,ANNALS OF CLINICAL AND LABORATORY SCIENCE,0091-7370
9635,AUSTRALIAN JOURNAL OF EDUCATION,0004-9441
9635,Asian Journal of Criminology,1871-0131
9635,Central European Journal of Public Health,1210-7778
9635,Central European Journal of Public Health,1210-7778
9635,Current Legal Problems,0070-1998
9635,ELECTRONIC LIBRARY,0264-0473
9635,HARVARD ENVIRONMENTAL LAW REVIEW,0147-8257
9635,HYLE,1433-5158
9635,HYLE,1433-5158
9635,Hydrologie und Wasserbewirtschaftung,1439-1783
9635,Information Technology and Control,1392-124X
9635,Journal of African Languages and Linguistics,0167-6164
9635,MODERN CHINA,0097-7004
9635,Natural Language Engineering,1351-3249
9635,Natural Language Engineering,1351-3249
9635,Seminars in Plastic Surgery,1535-2188
9654,Complex Analysis and Operator Theory,1661-8254
9654,REVISTA BRASILEIRA DE CIENCIA DO SOLO,0100-0683
9656,SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,0081-2463
9656,SOUTHERN ECONOMIC JOURNAL,0038-4038
9658,AFRICAN JOURNAL OF ECOLOGY,0141-6707
9658,JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,0352-5139
9658,SYSTEMIC PRACTICE AND ACTION RESEARCH,1094-429X
9658,Systems Engineering,1098-1241
9658,Transactions of FAMENA,1333-1124
9663,First Language,0142-7237
9663,INTERNATIONAL MICROBIOLOGY,1139-6709
9663,Interdisciplinary Sciences-Computational Life Sciences,1913-2751
9663,Journal of Sexual Aggression,1355-2600
9663,REPORTS ON MATHEMATICAL PHYSICS,0034-4877
9668,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,1370-6233
9668,Gynecologie Obstetrique Fertilite & Senologie,2468-7197
9668,HISTORY OF SCIENCE,0073-2753
9668,HISTORY OF SCIENCE,0073-2753
9668,Politics Philosophy & Economics,1470-594X
9668,Survey Methodology,0714-0045
9668,Survey Methodology,0714-0045
9675,AORN JOURNAL,0001-2092
9675,AORN JOURNAL,0001-2092
9675,FISHERIES SCIENCE,0919-9268
9675,HUMAN RIGHTS QUARTERLY,0275-0392
9675,International Journal of Physical Modelling in Geotechnics,1346-213X
9675,JOURNAL OF MICROPALAEONTOLOGY,0262-821X
9675,Journal for East European Management Studies,0949-6181
9682,ARS Mathematica Contemporanea,1855-3966
9682,INFORMATION PROCESSING LETTERS,0020-0190
9682,International Journal on Semantic Web and Information Systems,1552-6283
9682,JOURNAL OF EMPLOYMENT COUNSELING,0022-0787
9682,JOURNAL OF SYMBOLIC LOGIC,0022-4812
9682,WEB ECOLOGY,2193-3081
9688,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,0391-173X
9688,BEHAVIORAL INTERVENTIONS,1072-0847
9688,COMPUTER JOURNAL,0010-4620
9691,Medizinische Klinik-Intensivmedizin und Notfallmedizin,2193-6218
9691,UNIVERSITY OF ILLINOIS LAW REVIEW,0276-9948
9691,VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,0749-0739
9694,Australian Family Physician,0300-8495
9694,CRYOLETTERS,0143-2044
9694,PHYSICS OF METALS AND METALLOGRAPHY,0031-918X
9697,CANADIAN METALLURGICAL QUARTERLY,0008-4433
9697,CRITICAL STUDIES IN MEDIA COMMUNICATION,1529-5036
9697,Discourse & Communication,1750-4813
9697,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,0022-1260
9697,JOURNAL OF LOSS & TRAUMA,1532-5024
9697,Journal of Laser Micro Nanoengineering,1880-0688
9697,NAUTILUS,0028-1344
9704,Asia Pacific Business Review,1360-2381
9704,POLITICAL THEORY,0090-5917
9706,Biologically Inspired Cognitive Architectures,2212-683X
9706,Iranian Journal of Immunology,1735-1383
9706,Psychiatry Psychology and Law,1321-8719
9709,CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,0008-4840
9709,FOOD SCIENCE AND BIOTECHNOLOGY,1226-7708
9709,Iranian Red Crescent Medical Journal,2074-1804
9709,MINERALS & METALLURGICAL PROCESSING,0747-9182
9709,NATIONAL MEDICAL JOURNAL OF INDIA,0970-258X
9709,NUCLEAR TECHNOLOGY,0029-5450
9709,PHYSICS OF PARTICLES AND NUCLEI,1063-7796
9709,WOOD AND FIBER SCIENCE,0735-6161
9709,Youth Justice-An International Journal,1473-2254
9718,Journal of Water Sanitation and Hygiene for Development,2043-9083
9718,RUSSIAN JOURNAL OF NONDESTRUCTIVE TESTING,1061-8309
9720,BRAZILIAN JOURNAL OF BIOLOGY,1519-6984
9720,Biofuels-UK,1759-7269
9720,Bioinspired Biomimetic and Nanobiomaterials,2045-9858
9720,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,0250-7161
9720,Polish Journal of Microbiology,1733-1331
9720,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,1020-4989
9720,Random Matrices-Theory and Applications,2010-3263
9720,Tropical Plant Pathology,1983-2052
9728,CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,1486-3847
9728,Fossil Record,2193-0066
9728,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,0936-9902
9728,JOURNAL OF ELASTOMERS AND PLASTICS,0095-2443
9728,Journal of Theoretical and Applied Mechanics,1429-2955
9728,Postepy Higieny I Medycyny Doswiadczalnej,0032-5449
9728,WATER SA,0378-4738
9735,ACOUSTICAL PHYSICS,1063-7710
9735,Continuum-Journal of Media & Cultural Studies,1030-4312
9735,MILITARY MEDICINE,0026-4075
9735,RACE & CLASS,0306-3968
9735,READING TEACHER,0034-0561
9740,International Journal of Data Warehousing and Mining,1548-3924
9740,Journal of Biomaterials and Tissue Engineering,2157-9083
9740,Milan Journal of Mathematics,1424-9286
9740,RUSSIAN CHEMICAL BULLETIN,1066-5285
9744,Australasian Journal of Environmental Management,1448-6563
9744,Education and Treatment of Children,0748-8491
9744,JOURNAL OF ELECTRONIC IMAGING,1017-9909
9744,Journal of Choice Modelling,1755-5345
9744,TOPICS IN LANGUAGE DISORDERS,0271-8294
9749,Brazilian Journal of Botany,1806-9959
9749,International Journal of Metalcasting,1939-5981
9749,MATHEMATIKA,0025-5793
9749,Progress in Community Health Partnerships-Research Education and Action,1557-0541
9749,RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS,1061-9208
9754,BELGIAN JOURNAL OF ZOOLOGY,0777-6276
9754,BLUMEA,0006-5196
9754,JOURNAL OF POLYMER ENGINEERING,0334-6447
9754,SCOTTISH GEOGRAPHICAL JOURNAL,1470-2541
9754,TROPICAL ZOOLOGY,0394-6975
9754,WEED BIOLOGY AND MANAGEMENT,1444-6162
9760,Mobilization,1086-671X
9760,NAGOYA MATHEMATICAL JOURNAL,0027-7630
9760,POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,1363-951X
9760,QUARTERLY JOURNAL OF MATHEMATICS,0033-5606
9764,Chilean Journal of Agricultural Research,0718-5839
9764,International Journal of Sport Finance,1558-6235
9764,Turkish Neurosurgery,1019-5149
9767,ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,0232-704X
9767,Applied Ontology,1570-5838
9767,BULLETIN DES SCIENCES MATHEMATIQUES,0007-4497
9767,JOURNAL OF APPLIED ICHTHYOLOGY,0175-8659
9767,JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,0022-3131
9767,JOURNAL OF NUMBER THEORY,0022-314X
9767,JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0971-7811
9767,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1549-4950
9767,Journal of Theoretical and Applied Electronic Commerce Research,0718-1876
9776,ACTA CHROMATOGRAPHICA,1233-2356
9776,Visual Communication,1470-3572
9778,JOURNAL OF CRANIOFACIAL SURGERY,1049-2275
9778,THEORETICAL COMPUTER SCIENCE,0304-3975
9780,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,0273-0979
9780,CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,0714-9808
9780,Journal of Computational and Theoretical Transport,2332-4309
9780,POTATO RESEARCH,0014-3065
9780,Proceedings of the Institution of Civil Engineers-Energy,1751-4223
9785,Current Computer-Aided Drug Design,1573-4099
9786,ADVANCES IN COMPLEX SYSTEMS,0219-5259
9786,AMERICAN JOURNAL OF LAW & MEDICINE,0098-8588
9786,ARCHIV FUR MOLLUSKENKUNDE,1869-0963
9786,EUROPEAN JOURNAL OF WOMENS STUDIES,1350-5068
9786,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,0217-9792
9786,ODONATOLOGICA,0375-0183
9786,OENO One,2494-1271
9793,AUSTRALIAN JOURNAL OF ZOOLOGY,0004-959X
9793,Revista Mexicana de Ciencias Pecuarias,2007-1124
9795,Colombia Medica,1657-9534
9795,JOURNAL OF THE PHILOSOPHY OF SPORT,0094-8705
9795,Journal of Engineering Thermophysics,1810-2328
9795,Kinesiology,1331-1441
9795,Kinesiology,1331-1441
9795,REVIEW OF INDUSTRIAL ORGANIZATION,0889-938X
9801,Journal of Systems Science and Systems Engineering,1004-3756
9801,Journal of the Economic and Social History of the Orient,0022-4995
9803,ICHTHYOLOGICAL RESEARCH,1341-8998
9803,International Journal of Pharmacology,1811-7775
9803,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,1741-7597
9803,Stratigraphy,1547-139X
9807,CELLULOSE CHEMISTRY AND TECHNOLOGY,0576-9787
9807,Open Life Sciences,2391-5412
9809,INDUSTRIAL LUBRICATION AND TRIBOLOGY,0036-8792
9809,INSECT SYSTEMATICS & EVOLUTION,1399-560X
9809,Legal Studies,0261-3875
9809,Polish Maritime Research,1233-2585
9809,SCIENCE & SPORTS,0765-1597
9814,CRYSTALLOGRAPHY REPORTS,1063-7745
9814,ELECTRONIC JOURNAL OF COMBINATORICS,1077-8926
9814,INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,1368-1613
9814,Sociology Compass,1751-9020
9814,Teacher Education and Special Education,0888-4064
9819,AFRICAN ZOOLOGY,1562-7020
9819,CARNETS DE GEOLOGIE,1634-0744
9819,Dendrobiology,1641-1307
9819,INTERNATIONAL JOURNAL OF SOCIAL WELFARE,1369-6866
9819,International Journal of Global Warming,1758-2083
9819,Journal of Central South University,2095-2899
9819,Transactions of the Indian Ceramic Society,0371-750X
9826,AMERICAN JOURNAL OF DENTISTRY,0894-8275
9826,DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,0926-2245
9826,NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN,0077-7749
9826,REVIEW OF RELIGIOUS RESEARCH,0034-673X
9830,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925
9830,English in Education,0425-0494
9830,FISCAL STUDIES,0143-5671
9830,LIBRARY HI TECH,0737-8831
9830,Oral History Review,0094-0798
9830,REVUE SUISSE DE ZOOLOGIE,0035-418X
9836,Journal of Computational Finance,1460-1559
9836,Journal of Human Development and Capabilities,1945-2829
9836,Journal of International Advanced Otology,1308-7649
9839,Ciencia & Saude Coletiva,1413-8123
9839,DISCRETE DYNAMICS IN NATURE AND SOCIETY,1026-0226
9839,International Journal of Climate Change Strategies and Management,1756-8692
9839,Iranian Journal of Science and Technology Transaction A-Science,1028-6276
9839,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,0932-0776
9844,Anales de Psicologia,0212-9728
9844,Anales de Psicologia,0212-9728
9844,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0361-1434
9847,ASTROPHYSICS,0571-7256
9847,Asian Economic Papers,1535-3516
9847,CURRICULUM INQUIRY,0362-6784
9847,JOURNAL OF SYMBOLIC COMPUTATION,0747-7171
9847,Open Physics,2391-5471
9852,AUSTRALIAN FEMINIST STUDIES,0816-4649
9852,British Journal of Occupational Therapy,0308-0226
9852,British Journal of Occupational Therapy,0308-0226
9852,Families Relationships and Societies,2046-7435
9852,Food Culture & Society,1552-8014
9852,INSIGHT,1354-2575
9852,NEUROENDOCRINOLOGY LETTERS,0172-780X
9852,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,0369-8203
9852,Social Semiotics,1035-0330
9852,Turkish Studies,1468-3849
9862,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,1748-8842
9862,Ad Hoc & Sensor Wireless Networks,1551-9899
9862,Frontiers in Energy,2095-1701
9862,INDAGATIONES MATHEMATICAE-NEW SERIES,0019-3577
9862,Journal of Asian Economics,1049-0078
9867,INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,0020-7578
9867,Journal of Gerontological Nursing,0098-9134
9867,Journal of Gerontological Nursing,0098-9134
9867,LEPROSY REVIEW,0305-7518
9871,Acta Medica Mediterranea,0393-6384
9872,APPLIED ECONOMICS,0003-6846
9872,BULLETIN OF THE HISTORY OF MEDICINE,0007-5140
9872,BULLETIN OF THE HISTORY OF MEDICINE,0007-5140
